,Title,Author,My Rating,Number of Pages,Year Published,Original Publication Year,Date Added,recommended,isbn,categories,description,publisher
435,A Woman Who Went to Alaska - Scholar's Choice Edition,May Kellogg Sullivan,3,286.0,2015.0,1902.0,2018-11-18,False,,[],,Scholar's Choice
436,The Evolution of Plants,Kathy Willis,5,425.0,2014.0,2013.0,2018-11-18,False,9780199292233,['Nature'],Blends evidence from the fossil record and data from biomolecular studies to tell the story of plant evolution from the earliest forms of life to the present day. Its straightforward explanations and clear illustrations provide the most accessible introduction to plant evolution available.,"Oxford University Press, USA"
437,The Secret World of Sleep: the Surprising Science of the Mind at Rest,Penelope A. Lewis,3,208.0,2013.0,2013.0,2018-11-18,False,9780230107595,['Health & Fitness'],Explains the lesser-known role of sleep in processing the waking life and making sense of difficult emotions and experiences.,St. Martin's Press
438,The No Plays of Japan,Arthur Waley,3,,2017.0,1921.0,2018-11-18,False,,['English drama'],,Pinnacle Press
439,Confucian Analects,James Legge,3,156.0,2004.0,-429.0,2018-11-18,False,9781419113871,['Religion'],"The Master said, 'If the people be led by laws, and uniformity sought to be given them by punishments, they will try to avoid the punishment, but have no sense of shame.",Kessinger Publishing
440,Vegetables: A Biography,Evelyne Bloch-Dano,3,,2017.0,2008.0,2018-11-18,False,9780226059969,['Cooking'],"From Michael Pollan to locavores, Whole Foods to farmers' markets, today cooks and foodies alike are paying more attention than ever before to the history of the food they bring into their kitchens—and especially to vegetables. Whether it’s an heirloom tomato, curled cabbage, or succulent squash, from a farmers' market or a backyard plot, the humble vegetable offers more than just nutrition—it also represents a link with long tradition of farming and gardening, nurturing and breeding. In this charming new book, those veggies finally get their due. In capsule biographies of eleven different vegetables—artichokes, beans, chard, cabbage, cardoons, carrots, chili peppers, Jerusalem artichokes, peas, pumpkins, and tomatoes—Evelyne Bloch-Dano explores the world of vegetables in all its facets, from science and agriculture to history, culture, and, of course, cooking. From the importance of peppers in early international trade to the most recent findings in genetics, from the cultural cachet of cabbage to Proust’s devotion to beef-and-carrot stew, to the surprising array of vegetables that preceded the pumpkin as the avatar of All Hallow’s Eve, Bloch-Dano takes readers on a dazzling tour of the fascinating stories behind our daily repasts. Spicing her cornucopia with an eye for anecdote and a ready wit, Bloch-Dano has created a feast that’s sure to satisfy gardeners, chefs, and eaters alike.",Audible Studios on Brilliance Audio
441,Sappho: A New Rendering (Classic Reprint),Henry de Vere Stacpoole,3,78.0,2019.0,2013.0,2018-11-18,False,,[],,Forgotten Books
442,The Tosa Diary,Ki no Tsurayuki,3,128.0,2005.0,935.0,2018-11-18,False,9780804836951,['Biography & Autobiography'],The quiet but insightful story of a fifty-five day journey by ship from Tosa to Kyoto in AD 935.,Tuttle Publishing
443,The Origins of Music,Nils Lennart Wallin,5,512.0,2001.0,1999.0,2018-11-18,False,9780262731430,['Music'],The book can be viewed as representing the birth of evolutionarybiomusicology.,Mit Press
444,Les Misérables Volume One: Fantine,Victor Hugo,3,,,1862.0,2018-11-18,False,,[],,
445,"People, Plants and Genes: The Story of Crops and Humanity",Denis J. Murphy,4,401.0,2007.0,2007.0,2018-11-18,False,9780199207145,['Science'],"This book links the latest advances in molecular genetics with the science and history of plant domestication, the evolution of plant breeding, and the implications of our new knowledge for the agriculture of today and the future.","Oxford University Press, USA"
446,The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,4,499.0,2008.0,2007.0,2018-11-18,False,9781846140501,['Cognitive neuroscience'],"New York Times""-bestselling author Pinker marries two of the subjects he knows best: language and human nature. The result is a fascinating look at how words explain human nature.",Viking Books
447,Speak: A Short History of Languages,Tore Janson,4,272.0,2002.0,1997.0,2018-11-18,False,,['Language Arts & Disciplines'],"How does a language come into being, and when does it disappear? What actually happened to Latin? When was English created? Will all people on Earth speak English or Chinese in 200 years from now? These are a few of the questions discussed in A Short History of Languages. It is about howhistorical conditions shape languages and how languages influence the course of history.The book starts with a discussion of the period of gatherers and hunters, when there was a huge number of languges. It moves on to Greek and Latin, to French and Italian, and naturally includes a full discussion of English. Many other languages are treated, such as Setswana in southern Africa andthe Creole language of Nevis in the West Indies.These languages and cultures are presented in a lively way, with concrete examples and sometimes small samples from literary works, such as those of Sappho and Dante. However, no knowledge of other languages than English is presupposed. The author thus presents a cultural history of languages whichshould be stimulating reading for all those who take an interest in history and/or languages.At the same time, he seeks to find general trends in the rise and spread of languages, and in their relations to states and societies. Several trends are identified, and they are also used to make some predictions about the future. Thus, the book also contains some of the first discussions of anumber of intriguing problems in the border area between linguistics and history.","Oxford University Press, USA"
448,Roman Farm Management: The Treatises of Cato and Varro,Marcus Porcius Cato,3,,2017.0,-160.0,2018-11-18,False,,['Agriculture'],,Pinnacle Press
449,The Elements of Geology,William Harmon Norton,3,308.0,,1906.0,2018-11-18,False,9781603031691,['Fiction'],"William Harmon Norton was Professor of geology at Cornell University. Norton wrote this textbook wanting to develop the relationship between causes and their effects in a clear cut manner. Norton stresses the importance of the teacher using field study and observation along with the text. The book is divided into three sections. External geology concentrates on weather, glaciers, wind etc. Internal geology studies the earthżs crust, earthquakes, volcanoes etc. The final section, historical geology, covers carboniferous, Mesozoic, tertiary, etc.",
450,Experiments in Plant Hybridisation (Revised),Gregor Mendel,2,46.0,1965.0,1865.0,2018-11-18,False,9780674278004,['Science'],"One of the most influential and important scientific works ever written, the 1865 paper âeoeExperiments in Plant Hybridisationâe was all but ignored in its day, and its author, Austrian priest and scientist Gregor Johann Mendel (1822âe""1884), died before seeing the dramatic long-term impact of his work, which was rediscovered at the turn of the 20th century and is now considered foundational to modern genetics. A simple, eloquent description of his 1856âe""1863 study of the inheritance of traits in pea plantsâe""Mendel analyzed 29,000 of themâe""this is essential reading for biology students and readers of science history.",Harvard University Press
451,"Egyptian Tales, Translated from the Papyri First series, IVth to XIIth dynasty",William Matthew Flinders Petrie,2,50.0,2006.0,,2018-11-18,False,9781406939293,['History'],"This is a reproduction of the original artefact. Generally these books are created from careful scans of the original. This allows us to preserve the book accurately and present it in the way the author intended. Since the original versions are generally quite old, there may occasionally be certain imperfections within these reproductions. We're happy to make these classics available again for future generations to enjoy!",Hard Press
452,Of Peace of Mind,Seneca,2,,,60.0,2018-11-18,False,9781365395048,['Philosophy'],"Peace of Mind (De Tranquillitate Animi) is a dialogue written by Seneca the Younger during the years 49 to 62 A.D. It concerns the state of mind of Seneca's friend Annaeus Serenus, and how to cure Serenus of anxiety, worry and disgust with life. For the modern reader, this short, powerful work offers insight into how to think like a Stoic. It is a road-map for guiding the mind to, in Seneca's words, ""always pursue a steady, unruffled course... be pleased with itself, and look with pleasure upon its surroundings, and experience no interruption of this joy, but abide in a peaceful condition without being ever either elated or depressed.""",
453,Translation: A Very Short Introduction,Matthew Reynolds,3,142.0,2016.0,,2018-11-18,False,9780198712114,['Foreign Language Study'],"Translation is everywhere, giving us dubbed films, and access to foreign news and the literature of other cultures. Considering subtitling, interpreting, and adaptations, Matthew Reynolds reveals how translation is changing radically in the new age of electronic media.","Oxford University Press, USA"
454,Agriculture: A Very Short Introduction,Paul Brassley,3,144.0,2016.0,2016.0,2018-11-18,False,9780198725961,['Technology & Engineering'],"Agriculture, one of the oldest human occupations, is practised all over the world, using techniques ranging from the profoundly traditional to the most scientifically advanced. Without it we would starve. Yet how many of us understand what is happening in the fields that we see as we drive through the countryside? How often do we think about the origins of the food in our trolley? In this Very Short Introduction Paul Brassley and Richard Soffe explain what farmers do and why they do it. Beginning with the most basic resource, the soil, they show why it is important, and how farmers can increase its productivity, before turning to the plants and animals that grow on it, and tracing the connections between their biology and the various ways in which farmers work with them. The authors conclude by looking at some of the controversial issues facing contemporary agriculture: its sustainability; its impact on wildlife and landscape; issues of animal welfare; and the affect of climate change and the development of genetically modified organisms on farmers. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.","Oxford University Press, USA"
455,Sleep: A Very Short Introduction (Very Short Introductions),Steven W. Lockley,3,159.0,2012.0,2012.0,2018-11-18,False,9780191620348,['Health & Fitness'],"Why do we need sleep? How much sleep is enough? What is sleep? What happens when we don't get enough? We spend about a third of our lives asleep - it plays a crucial role in our health and wellbeing. References to sleep abound in literature and art, and sleep has been recognized as fundamental to the human condition for thousands of years. Over the past century, our knowledge of how sleep occurs, what it does, and what happens to our health if we do not have enough has developed hugely. The impact of poor sleep on our quality of life is also gaining recognition and the prevalence of sleep disorders in the population appears to be increasing as we live ever stressful lives. This Very Short Introduction addresses the biological and psychological aspects of sleep, providing a basic understanding of what sleep is and how it is measured, looking at sleep through the human lifespan and the causes and consequences of major sleep disorders. Russell G. Foster and Steven W. Lockley go on to consider the impact of modern society, examining the relationship between sleep and work hours, and the impact of our 24/7 society. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.","Oxford University Press, USA"
456,"Kalevala, The Land Of Heroes",William C. Kirby,1,,,1835.0,2018-11-18,False,,['Social Science'],Translation of the great Finnish epic of ancient life in the Far North first published in 1907. This reprinting includes a new introduction and commentary.,
457,Brain Wentk P,Gary Lee Wenk,4,192.0,2017.0,,2018-11-18,False,9780190603397,['Medical'],"What is the principle purpose of a brain? A simple question, but the answer has taken millennia for us to begin to understand. So critical for our everyday existence, the brain still remains somewhat of a mystery. Gary L. Wenk takes us on a tour of what we do know about this enigmatic organ, showing us how the workings of the human brain produce our thoughts, feelings, and fears, and answering questions such as: How did humans evolve such a big brain? What is an emotion and why do we have them? What is a memory and why do we forget so easily? How does your diet affect how you think and feel? What happens when your brain gets old? Throughout human history, ignorance about the brain has caused numerous non-scientific, sometimes harmful interventions to be devised based on interpretations of scientific facts that were misguided. Wenk discusses why these neuroscientific myths are so popular, and why some of the interventions based on them are a waste of time and money. With illuminating insights, gentle humor, and welcome simplicity, The Brain: What Everyone Needs to Know(r) makes the complex biology of our brains accessible to the general reader.",OUP Us
458,Aino Folk-Tales,Basil Hall Chamberlain,3,48.0,2009.0,1888.0,2018-11-18,False,,['Ainu'],,General Books
459,Magic in the Ancient World,Fritz Graf,3,320.0,1998.0,1998.0,2018-11-18,False,,['History'],"This text aims to provide a comprehensive introduction to ancient magic. It gives direct access to the sources but selects the important, characteristic examples.",Harvard University Press
460,Japanese Fairy Tales,Yei Theodora Ozaki,3,256.0,2007.0,1903.0,2018-11-18,False,9784805308813,['Juvenile Fiction'],"Collects twenty-two Japanese legends and fairy tales, including ""The story of Urashima Taro,"" ""The bamboo-cutter and the moon-child,"" and ""Momotaro.""",Tuttle Publishing
461,Maoriland Fairy Tales,Edith Howes,3,244.0,1920.0,1913.0,2018-11-18,False,,['Maori'],,"Ward, Lock & Co."
462,Bee Time: Lessons from the Hive,Mark L. Winston,3,283.0,2014.0,2014.0,2018-11-18,False,9780674368392,['Nature'],"Being among bees is a full-body experience, Mark Winston writes. Bee Time presents his reflections on three decades spent studying these remarkable creatures, and on the lessons they can teach about how humans might better interact with one another and the natural world, from the boardroom to urban design to agricultural ecosystems.",Harvard University Press
463,The Natural History Of Medicinal Plants,Judith Sumner,5,,2000.0,2000.0,2018-11-18,False,9780881924831,['Health & Fitness'],"Explains how plant defenses were found to be useful medicinally, and introduces the new field of zoopharmacognosy that studies patterns in animal interactions with medicinal plants.",Timber Press (OR)
464,Beyond Words: What Animals Think and Feel,Carl Safina,5,461.0,2016.0,2015.0,2018-11-18,False,9780805098891,['Nature'],"I wanted to know what they were experiencing, and why to us they feel so compelling, and so-close. This time I allowed myself to ask them the question that for a scientist was forbidden fruit: Who are you? Weaving decades of field observations with exciting new discoveries about the brain, Carl Safina's landmark book offers an intimate view of animal behavior to challenge the fixed boundary between humans and nonhuman animals. In Beyond Words, readers travel to Amboseli National Park in the threatened landscape of Kenya and witness struggling elephant families work out how to survive poaching and drought, then to Yellowstone National Park to observe wolves sort out the aftermath of one pack's personal tragedy, and finally plunge into the astonishingly peaceful society of killer whales living in the crystalline waters of the Pacific Northwest. Beyond Words brings forth powerful and illuminating insight into the unique personalities of animals through extraordinary stories of animal joy, grief, jealousy, anger, and love. The similarity between human and nonhuman consciousness, self-awareness, and empathy calls us to re-evaluate how we interact with animals. Wise, passionate, and eye-opening at every turn, Beyond Words is ultimately a graceful examination of humanity's place in the world.",Souvenir Press
465,Inferno: A Doctor's Ebola Story,Steven Hatch,3,320.0,2017.0,,2018-11-18,False,9781250085139,['Biography & Autobiography'],"Dr. Steven Hatch first came to Liberia in November 2013, to work at a hospital in Monrovia. Six months later, several of the physicians Dr. Hatch had mentored and served with were dead or barely clinging to life, and Ebola had become a world health emergency. Hundreds of victims perished each week; whole families were destroyed in a matter of days; so many died so quickly that the culturally taboo practice of cremation had to be instituted to dispose of the bodies. With little help from the international community and a population ravaged by disease and fear, the war-torn African nation was simply unprepared to deal with the catastrophe. A physician’s memoir about the ravages of a terrible disease and the small hospital that fought to contain it, Inferno is also an explanation of the science and biology of Ebola: how it is transmitted and spreads with such ferocity. And as Dr. Hatch notes, while Ebola is temporarily under control, it will inevitably re-emerge—as will other plagues, notably the Zika virus, which the World Health Organization has declared a public health emergency. Inferno is a glimpse into the white-hot center of a crisis that will come again.",St. Martin's Press
466,NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,Steve Silberman,4,560.0,2016.0,2015.0,2018-11-18,True,9780399185618,['Psychology'],"""A groundbreaking book that upends conventional thinking about autism and suggests a broader model for acceptance, understanding, and full participation in society for people who think differently""--",Avery Publishing Group
467,"Sacred Violence: The European Crusades to the Middle East, 1095-1396",Jill N. Claster,4,356.0,2009.0,2009.0,2018-11-18,False,9781442600607,['History'],Renowned medieval historian Jill N. Claster examines warfare between Christians and Muslims for control of the embattled city of Jerusalem.,University of Toronto Press
468,"In Translation - Reflections, Refractions, Transformations",Paul St-Pierre,4,313.0,2007.0,2007.0,2018-11-18,False,9789027292520,['Language Arts & Disciplines'],"With contributions by researchers from India, Europe, North America and the Caribbean, In Translation – Reflections, refractions, transformations touches on questions of method and on topics – including copyright, cultural hybridity, globalization, identity construction, and minority languages – which are important for the disciplinary development of translation studies but also of interest to other fields as well, most notably comparative literature, cultural studies and world literature. The volume provides a forum for new voices to be heard alongside those of well-established scholars and for current concerns to express themselves, often focusing on practices in areas of the world other than Europe or North America, which have until now tended to dominate the field. Acknowledging difference and celebrating it, the contributions conceive of translation as a process which reconstitutes and transforms, which brings renewal and growth, an interaction in a new context, a new reading, a new writing.",John Benjamins Publishing Company
469,The Woman Who Would Be King: Hatshepsut's Rise to Power in Ancient Egypt,Kara Cooney,1,,2014.0,2014.0,2018-11-18,False,9781780746517,['History'],"Hatshepsut, the daughter of a general who took Egypt's throne without status as a king’s son and a mother with ties to the previous dynasty, was born into a privileged position of the royal household. Married to her brother, she was expected to bear the sons who would legitimize the reign of her father’s family. Her failure to produce a male heir was ultimately the twist of fate that paved the way for her inconceivable rule as a cross-dressing king. At just twenty, Hatshepsut ascended to the rank of king in an elaborate coronation ceremony that set the tone for her spectacular twenty-two year reign as co-regent with Thutmose III, the infant king whose mother Hatshepsut out-maneuvered for a seat on the throne. Hatshepsut was a master strategist, cloaking her political power plays with the veil of piety and sexual expression. Just as women today face obstacles from a society that equates authority with masculinity, Hatshepsut had to shrewdly operate the levers of a patriarchal system to emerge as Egypt's second female pharaoh.",Random House
470,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Robin Wall Kimmerer,1,,2016.0,2013.0,2018-11-18,False,9781571318718,['Nature'],"As a botanist, Robin Wall Kimmerer has been trained to ask questions of nature with the tools of science. As a member of the Citizen Potawatomi Nation, she embraces the notion that plants and animals are our oldest teachers. In Braiding Sweetgrass, Kimmerer brings these two lenses of knowledge together to take us on “a journey that is every bit as mythic as it is scientific, as sacred as it is historical, as clever as it is wise” (Elizabeth Gilbert). Drawing on her life as an indigenous scientist, and as a woman, Kimmerer shows how other living beings—asters and goldenrod, strawberries and squash, salamanders, algae, and sweetgrass—offer us gifts and lessons, even if we've forgotten how to hear their voices. In reflections that range from the creation of Turtle Island to the forces that threaten its flourishing today, she circles toward a central argument: that the awakening of ecological consciousness requires the acknowledgment and celebration of our reciprocal relationship with the rest of the living world. For only when we can hear the languages of other beings will we be capable of understanding the generosity of the earth, and learn to give our own gifts in return.",Tantor Audio
471,Evolution's Destiny,Robert J.P. Williams,2,344.0,2012.0,2012.0,2018-11-18,False,9781849735582,['Science'],This book demonstrates that biology and geochemistry have continually influenced each other in the co-evolution of the Earth and all life.,Royal Society of Chemistry
472,Word Origins ... and How We Know Them: Etymology for Everyone,Anatoly Liberman,2,325.0,2009.0,2005.0,2018-11-18,False,9780195387070,['Language Arts & Disciplines'],"A guide to the science and process of etymology for the layperson explains how the origins and history of hundreds of words are determined, discussing such topics as folk etymology, changes of meaning in language history, borrowed words, and the methods of etymology.","Oxford University Press, USA"
473,An Introduction to Shamanism,Thomas A. DuBois,1,317.0,2009.0,2009.0,2018-11-18,False,9780521873536,['Religion'],"This Introduction surveys the beliefs, rituals and techniques found in shamanic traditions around the world.",Cambridge University Press
474,Death: Antiquity and Its Legacy,Mario Erasmo,1,200.0,2019.0,2012.0,2018-11-18,False,9781848855564,['Social Science'],"Personal and yet utterly universal, inevitable and yet unknowable, death has been a dominant theme in all cultures, since earliest times. Different societies address death and the act of dying in culturally diverse ways; yet, remarkably, across the span of several millennia, we can recognize in the customs of ancient Greece and Rome ceremonies and rituals that have enduring present-day resonance. For example, preparing the corpse of the deceased, holding a memorial service, the practice of cremation and of burial in 'resting places' are all liminal processes that can trace their origin to ancient practices. Such rites - described by Cicero and Herodotus, among others - have defined traditional modern funerals. Yet of late there has been a shift away from classical ritual and sombre memorialization as the dead are transformed into spectacles. Ad hoc roadside shrines, 'virtual' burials, online guest-books and even jazz memorial processions and firework displays have come to the fore as new modes of marking, even celebrating, bereavement. What is causing this change, and how do urbanisation, economic factors and the rise of individualism play a part?Mario Erasmo creatively explores the nexus between classical and contemporary approaches to dying, death and interment. From theme funerals in St Louis to Etruscan sarcophagi, he offers a rich and insightful discussion of finitude across the ages.",I.B. Tauris
475,Julia's Cats: Julia Child's Life in the Company of Cats,Patricia Barey,3,145.0,2012.0,2012.0,2018-11-18,False,9781419702754,['Pets'],"DIVThe world knows Julia Child as the charismatic woman who brought French cuisine to America and became a TV sensation, but there's one aspect of her life that's not so familiar. Soon after the Childs arrived in Paris in 1948, a French cat appeared on their doorstep, and Julia recalled, “Our domestic circle was completed.” Minette captured Julia's heart, igniting a lifelong passion for cats equaled only by her love of food and her husband, Paul. All the cherished feline companions who shared Julia's life—in Paris, Provence, and finally California—reminded her of that magical time in Paris when her life changed forever. From Julia's and Paul's letters and original interviews with those who knew her best, Patricia Barey and Therese Burson have gathered fresh stories and images that offer a delightfully intimate view of a beloved icon. Praise for Julia's Cats: ?“It's clear that all the cats that passed through her life gave her joy and comfort, probably in ways that food and even Paul could not. Having that perspective of this grande dame makes her seem all the more human and wonderfully admirable to me.” —Epicurious /div",Harry N. Abrams
476,Nature's Operating Instructions: The True Biotechnologies,Kenny Ausubel,3,256.0,2004.0,2004.0,2018-11-18,False,9781578050994,['Nature'],"Archiving corn strains to guard against genetic pollution … Coating chainsaw blades with mushroom spores to speed forest regeneration … Growing crops that literally suck heavy metals out of damaged soil ... These are not utopian fantasies but proven strategies developed by experts who have discovered how to exploit the innate intelligence of living systems to create “true biotechnologies.” The Bioneers (“biological pioneers”) are a network of scientists, writers, economists, artists, and other leaders with practical and visionary solutions for our most pressing environmental and social challenges. Their annual conference draws global attention, and its most inspiring presentations become source material for books in the Bioneers series. In this volume, Bioneers founder Kenny Ausubel gathers reports from leaders in the fields of biomimicry (mimicking nature to restore environments and transform production processes), “living technologies” that break down toxics biologically; and ecologically sound design for buildings and industries. These are set alongside essays by such writers as Paul Hawken, Terry Tempest Williams, and Michael Pollan that underscore the need to work in harmony with natural systems. Unlike corporatized genetic manipulation, the “true biotechnologies” explored here illuminate a future of hope by wedding human ingenuity to the wisdom of the wild.",Sierra Club Books
477,Let's Explore Diabetes with Owls,David Sedaris,2,275.0,2013.0,2013.0,2018-11-18,False,9780316125680,['Humor'],"A guy walks into a bar car and... From here the story could take many turns. When this guy is David Sedaris, the possibilities are endless, but the result is always the same: he will both delight you with twists of humor and intelligence and leave you deeply moved. Sedaris remembers his father's dinnertime attire (shirtsleeves and underpants), his first colonoscopy (remarkably pleasant), and the time he considered buying the skeleton of a murdered Pygmy. With Let's Explore Diabetes with Owls, David Sedaris shows once again why his work has been called ""hilarious, elegant, and surprisingly moving"" (Washington Post).","Little, Brown and Company"
478,The Last Question,Isaac Asimov,2,9.0,2007.0,1956.0,2018-11-18,False,9780006476474,['American fiction'],"First published fifteen years ago, shortly after his death, inside this collection are some of the finest short stories of science fiction writing from one of the genre's greatest writers, Isaac Asimov. Isaac Asimov was the Grand Master of the Science Fiction Writers of America, the founder of robot ethics, and one of the world's most prolific authors of fiction and non-fiction. The Good Doctor's short fiction has been enjoyed by millions for more than half a century. Now the definitive Asimov collection is underway with Volume One of The Complete Stories. Many of these stories are classics of the genre, and the last, 'The Last Question', the absolute personal favourite of Asimov himself. Always entertaining and thought provoking, these stories display Asimov's mastery of the short story form. He remains supreme as the thinking person's science fiction writer.",Ziggurat Productions
479,The Golden Apples of the Sun,Ray Bradbury,2,338.0,1997.0,1953.0,2018-11-18,False,9780380730391,['Fiction'],"Ray Bradbury is a modern cultural treasure. His disarming simplicity of style underlies a towering body of work unmatched in metaphorical power by any other American storyteller. And here, presented in a new trade edition, are thirty-two of his most famous tales--prime examples of the poignant and mysterious poetry which Bradbury uniquely uncovers in the depths of the human soul, the otherwordly portraits of outrÉ fascination which spring from the canvas of one of the century's great men of imagination. From a lonely coastal lighthouse to a sixty-million-year-old safary, from the pouring rain of Venus to the ominous silence of a murder scene, Ray Bradbury is our sure-handed guide not only to surprising and outrageous manifestations of the future, but also to the wonders of the present that we could never have imagined on our own.Ray Bradbury is a modern cultural treasure. His disarming simplicity of style underlies a towering body of work unmatched in metaphorical power by any other American storyteller. And here, presented in a new trade edition, are thirty-two of his most famous tales--prime examples of the poignant and mysterious poetry which Bradbury uniquely uncovers in the depths of the human soul, the otherwordly portraits of outre fascination which spring from the canvas of one of the century s great men of imagination. From a lonely coastal lighthouse to a sixty-million-year-old safari, from the pouring rain of Venus to the ominous silence of a murder scene, Ray Bradbury is our sure-handed guide not only to surprising and outrageous manifestations of the future, but also to the wonders of the present that we could never have imagined on our own.",William Morrow
480,The Coming Plague: Newly Emerging Diseases in a World Out of Balance,Laurie Garrett,4,750.0,1995.0,1994.0,2018-11-18,False,9780140250916,['Medical'],"An exploration of the battle against microbes, based on research in virology, molecular biology, disease ecology, and medicine, examines the current outbreak of infectious diseases and outlines what can be done to prevent the coming plague",Penguin Books
481,The Origin of Species,Charles Darwin,4,703.0,2004.0,1859.0,2018-11-18,False,9780785819110,['Science'],"The instant best-seller and source of controversy of 1859, this classic has lost none of its appeal or importance. A reprint of the original edition, value priced with a new jacket.",Castle Books
482,Don Quixote,Miguel de Cervantes Saavedra,3,1023.0,2003.0,1605.0,2018-11-18,False,9780142437230,['Fiction'],Retells the adventures of an eccentric country gentleman and his companion who set out as knight and squire of old to right wrongs and punish evil.,Penguin Books
483,"Tinker, Tailor, Soldier, Spy",John le Carré,1,381.0,2011.0,1974.0,2018-11-18,False,9780143119784,['Fiction'],"British agent George Smiley ferrets out a mole in the Secret Service and begins his epic game of international chess with his Soviet counterpart, an agent named Karla. By the best-selling author of The Honourable Schoolboy. Reissue.",Penguin Books
484,The Symposium,Plato,3,131.0,2003.0,-385.0,2018-11-18,False,9780140449273,['Fiction'],Translated with an Introduction and Notes by Christopher Gill.,Penguin Books
485,My Point... And I Do Have One,Ellen DeGeneres,4,211.0,1996.0,1995.0,2018-11-18,False,9780553573619,['Biography & Autobiography'],"In this #1 New York Times bestseller, Ellen DeGeneres shares her hilarious take on everything from our most baffling human foibles–including how we behave in elevators, airplanes, and restrooms, and why we’re so scared of the boogeyman–to fashion trends, celebrity, and her secret recipe for Ellen’s Real Frenchy French Toast. Most of all, this witty, engaging book offers insights into the mind of one of America’s most beloved comics.… Dear Reader, I was awfully excited when I was asked to write a book. I was however, nervous. I was afraid I didn’t have anything important to say. But when I began writing, I realized that although I don’t know a lot about any one thing, I know a little about a whole bunch of things: baking a pie; dancing; curing the common cold; running the Iditarod–it’s all in the book. And I realized I notice things that maybe some people don’t notice (or they don’t notice that they don’t notice). That’s all in the book, too. From the Trade Paperback edition.",Bantam
486,The Histories,Herodotus,4,716.0,2003.0,-450.0,2018-11-18,False,9780140449082,['Fiction'],Recounts the causes and history of the wars between the Greek city-states and Persia.,Penguin Books
487,A Distant Mirror:  The Calamitous 14th Century,Barbara W. Tuchman,3,677.0,1987.0,1978.0,2018-11-18,False,9780345349576,['History'],"The prize-winning historian traces the major currents of the fourteenth century, revealing the century's great historical rhythms and events and the texture of daily life at all levels of European society",Random House
488,History of the Peloponnesian War,Thucydides,4,648.0,1972.0,-411.0,2018-11-18,False,9780140440393,['History'],A translation of Thucydide's history of the wars between Athens and Sparta is critically introduced,Penguin Books
489,What Am I Doing Here?,Bruce Chatwin,1,,1998.0,1989.0,2018-11-18,False,9780099769811,['Literary Collections'],"In this collection of profiles, essays and travel stories, Chatwin takes us to Benin, where he is arrested as a mercenary during a coup; to Boston to meet an LSD guru who believes he is Christ; to India with Indira Ghandi when she attempted a political comeback in 1978; and to Nepal where he reminds us that 'Man's real home is not a house, but the Road, and that life itself is a journey to be walked on foot'",Vintage
490,The Tale of Genji,Murasaki Shikibu,2,1182.0,2003.0,1008.0,2018-11-18,False,9780142437148,['Fiction'],"The classic novel of court life in tenth and eleventh-century Japan centers on the exploits of a nobleman known as the shining Genji, son of an emperor, and those of Kaoru, grandson of Genji's best friend.",Penguin Books
491,Middlemarch,George Eliot,1,904.0,2004.0,1871.0,2018-11-18,False,9780451529176,['Fiction'],"In nineteenth-century England, Dorthea Brooke's wishes to defy social conventions are inhibited by the strict nature of her surroundings.",Signet
492,The Saga of the Volsungs,Anonymous,5,145.0,1999.0,1275.0,2018-11-18,False,9780140447385,['Fiction'],"Based on Viking Age poems, The Saga of the Volsungs combines mythology, legend and sheer human drama. At its heart are the heroic deeds of Sigurd the dragon slayer who acquires magical knowledge from one of Odin's Valkyries. Yet it is also set in a very human world, incorporating strands from the oral narratives of the fourth and fifth centuries, when Attila the Hun and other warriors fought on the northern frontiers of the Roman Empire. One of the great books of world literature, the saga is an unforgettable tale of princely jealousy, unrequited love, greed and vengeance. With its cursed treasure of the Rhine, sword reforged and magic ring of power, it was a major influence for writers including William Morris and J. R. R. Tolkein and for Wagner's Ring cycle.",Penguin Books
493,Gratitude,Oliver Sacks,2,64.0,2015.0,2015.0,2018-11-18,False,9780345811363,['Aging'],"""In July 2013, Oliver Sacks turned eighty and wrote [a] ... piece in The New York Times about the prospect of old age and the freedom he envisioned for himself in binding together the thoughts and feelings of a lifetime. Eighteen months later, he was given a diagnosis of terminal cancer--which he announced publicly in another piece in The New York Times. Gratitude is Sacks's meditation on why life [continued] to enthrall him even as he [faced] the all-too-close presence of his own death, and how to live out the months that [remained] in the richest and deepest way possible""--",Knopf
494,When Breath Becomes Air,Paul Kalanithi,1,208.0,2016.0,2016.0,2018-11-18,False,9780812988406,['Biography & Autobiography'],A cloth bag containing eight copies of the title.,Random House
